Date,Event,Actual,Forecast,Previous
feb01.2008,US Non-Farm Employment Change,-17K,65K,82K
feb01.2008,US Unemployment Rate,4.9%,5.0%,5.0%
feb01.2008,US ISM Manufacturing PMI,50.7,47.3,47.7
feb04.2008,US Factory Orders m/m,2.3%,2.3%,1.7%
feb05.2008,US ISM Services PMI,44.6,52.4,53.2
feb06.2008,US Crude Oil Inventories,7.0M,2.6M,3.6M
feb06.2008,US Distillate Inventories,0.1M,-2.1M,-1.5M
feb06.2008,US Gasoline Inventories,3.6M,1.9M,3.6M
feb07.2008,US Natural Gas Storage,-200B,-187B,-274B
feb08.2008,CA Employment Change,46.4K,10.0K,-18.7K
feb08.2008,CA Unemployment Rate,5.8%,6.0%,5.9%
feb13.2008,US Retail Sales m/m,0.3%,-0.2%,-0.4%
feb13.2008,US Crude Oil Inventories,1.1M,2.4M,7.0M
feb13.2008,US Distillate Inventories,-0.2M,-1.5M,0.1M
feb13.2008,US Gasoline Inventories,1.7M,1.5M,3.6M
feb14.2008,US Trade Balance,-58.8B,-61.8B,-63.1B
feb14.2008,US Natural Gas Storage,-120B,-117B,-200B
feb15.2008,US Capacity Utilization Rate,81.5%,81.4%,81.5%
feb15.2008,US Industrial Production m/m,0.1%,0.1%,0.1%
feb20.2008,US Core CPI m/m,0.3%,0.2%,0.2%
feb20.2008,US CPI m/m,0.4%,0.3%,0.3%
feb21.2008,US Crude Oil Inventories,4.2M,2.4M,1.1M
feb21.2008,US Distillate Inventories,-4.4M,-1.6M,-0.2M
feb21.2008,US Gasoline Inventories,1.0M,0.5M,1.7M
feb21.2008,US Natural Gas Storage,-172B,-174B,-120B
feb27.2008,US Crude Oil Inventories,3.2M,2.7M,4.2M
feb27.2008,US Distillate Inventories,-2.6M,-2.2M,-4.4M
feb27.2008,US Gasoline Inventories,2.3M,0.4M,1.0M
feb28.2008,US Natural Gas Storage,-151B,-157B,-172B
feb29.2008,EZ Consumer Confidence,-12,-12,-12
mar03.2008,US ISM Manufacturing PMI,48.3,48.0,50.7
mar05.2008,US Factory Orders m/m,-2.5%,-2.3%,2.0%
mar05.2008,US ISM Services PMI,49.3,47.6,44.6
mar05.2008,US Crude Oil Inventories,-3.1M,2.4M,3.2M
mar05.2008,US Distillate Inventories,-2.3M,-1.6M,-2.6M
mar05.2008,US Gasoline Inventories,1.7M,0.6M,2.3M
mar06.2008,US Natural Gas Storage,-135B,-143B,-151B
mar07.2008,CA Employment Change,43.3K,3.0K,46.4K
mar07.2008,CA Unemployment Rate,5.8%,5.9%,5.8%
mar07.2008,US Average Hourly Earnings m/m,0.3%,0.3%,0.3%
mar07.2008,US Non-Farm Employment Change,-63K,25K,-22K
mar07.2008,US Unemployment Rate,4.8%,5.0%,4.9%
mar11.2008,US Trade Balance,-58.2B,-59.5B,-57.9B
mar12.2008,US Crude Oil Inventories,6.2M,1.7M,-3.1M
mar12.2008,US Distillate Inventories,-1.2M,-2.0M,-2.3M
mar12.2008,US Gasoline Inventories,1.7M,0.1M,1.7M
mar13.2008,US Retail Sales m/m,-0.6%,0.2%,0.4%
mar13.2008,US Natural Gas Storage,-86B,-85B,-135B
mar14.2008,US Core CPI m/m,0.0%,0.2%,0.3%
mar14.2008,US CPI m/m,0.0%,0.3%,0.4%
mar17.2008,US Capacity Utilization Rate,80.9%,81.2%,81.5%
mar17.2008,US Industrial Production m/m,-0.5%,-0.1%,0.1%
mar19.2008,US Crude Oil Inventories,0.1M,2.3M,6.2M
mar19.2008,US Distillate Inventories,-2.9M,-1.5M,-1.2M
mar19.2008,US Gasoline Inventories,-3.4M,0.0M,1.7M
mar20.2008,US Natural Gas Storage,-85B,-45B,-86B
mar26.2008,US Crude Oil Inventories,0.1M,1.7M,0.1M
mar26.2008,US Distillate Inventories,-2.1M,-1.8M,-2.9M
mar26.2008,US Gasoline Inventories,-3.3M,-1.5M,-3.4M
mar27.2008,US Natural Gas Storage,-36B,-33B,-85B
mar31.2008,EZ Consumer Confidence,-12,-12,-12
apr01.2008,US ISM Manufacturing PMI,48.6,47.5,48.3
apr02.2008,US Factory Orders m/m,-1.3%,-0.8%,-2.3%
apr02.2008,US Crude Oil Inventories,7.3M,2.3M,0.1M
apr02.2008,US Distillate Inventories,-1.6M,-1.6M,-2.1M
apr02.2008,US Gasoline Inventories,-4.5M,-2.8M,-3.3M
apr03.2008,US ISM Services PMI,49.6,48.5,49.3
apr03.2008,US Natural Gas Storage,-29B,-34B,-36B
apr04.2008,CA Employment Change,14.6K,15.0K,43.3K
apr04.2008,CA Unemployment Rate,6.0%,5.8%,5.8%
apr04.2008,US Average Hourly Earnings m/m,0.3%,0.3%,0.3%
apr04.2008,US Non-Farm Employment Change,-80K,-50K,-76K
apr04.2008,US Unemployment Rate,5.1%,5.0%,4.8%
apr09.2008,US Crude Oil Inventories,-3.1M,2.3M,7.3M
apr09.2008,US Distillate Inventories,-3.7M,-1.5M,-1.6M
apr09.2008,US Gasoline Inventories,-3.4M,-3.0M,-4.5M
apr10.2008,US Trade Balance,-62.3B,-57.4B,-59.0B
apr10.2008,US Natural Gas Storage,-14B,-15B,-29B
apr14.2008,US Retail Sales m/m,0.2%,0.0%,-0.4%
apr16.2008,US Core CPI m/m,0.2%,0.2%,0.0%
apr16.2008,US CPI m/m,0.3%,0.3%,0.0%
apr16.2008,US Capacity Utilization Rate,80.5%,80.3%,80.3%
apr16.2008,US Industrial Production m/m,0.3%,-0.1%,-0.7%
apr16.2008,US Distillate Inventories,0.1M,-1.6M,-3.7M
apr16.2008,US Gasoline Inventories,-5.5M,-1.8M,-3.4M
apr16.2008,US Crude Oil Inventories,-2.4M,1.8M,-3.1M
apr17.2008,US Natural Gas Storage,27B,16B,-14B
apr23.2008,US Crude Oil Inventories,2.4M,1.5M,-2.4M
apr23.2008,US Distillate Inventories,-1.4M,-0.1M,0.1M
apr23.2008,US Gasoline Inventories,-3.2M,-2.0M,-5.5M
apr24.2008,US Natural Gas Storage,24B,22B,27B
apr30.2008,EZ Consumer Confidence,-12,-13,-12
apr30.2008,US Advance GDP q/q,0.6%,0.2%,0.6%
apr30.2008,US Crude Oil Inventories,3.8M,0.9M,2.4M
apr30.2008,US Distillate Inventories,1.1M,-0.3M,-1.4M
apr30.2008,US Gasoline Inventories,-1.5M,-0.9M,-3.2M
may01.2008,US ISM Manufacturing PMI,48.6,48.0,48.6
may01.2008,US Natural Gas Storage,86B,30B,24B
may02.2008,US Average Hourly Earnings m/m,0.1%,0.3%,0.3%
may02.2008,US Non-Farm Employment Change,-20K,-80K,-81K
may02.2008,US Unemployment Rate,5.0%,5.2%,5.1%
may02.2008,US Factory Orders m/m,1.4%,0.2%,-0.9%
may05.2008,US ISM Services PMI,52.0,49.1,49.6
may07.2008,US Crude Oil Inventories,5.7M,1.6M,3.8M
may07.2008,US Distillate Inventories,-0.1M,-1.1M,1.1M
may07.2008,US Gasoline Inventories,0.8M,0.1M,-1.5M
may08.2008,US Natural Gas Storage,65B,71B,86B
may09.2008,CA Employment Change,19.2K,10.0K,14.6K
may09.2008,CA Unemployment Rate,6.1%,6.0%,6.0%
may09.2008,US Trade Balance,-58.2B,-61.4B,-61.7B
may13.2008,US Retail Sales m/m,-0.2%,-0.2%,0.2%
may14.2008,US Core CPI m/m,0.1%,0.2%,0.2%
may14.2008,US CPI m/m,0.2%,0.3%,0.3%
may14.2008,US Crude Oil Inventories,0.2M,2.2M,5.7M
may14.2008,US Distillate Inventories,1.3M,1.3M,-0.1M
may14.2008,US Gasoline Inventories,-1.7M,-0.2M,0.8M
may15.2008,US Capacity Utilization Rate,79.7%,80.1%,80.4%
may15.2008,US Industrial Production m/m,-0.7%,-0.3%,0.2%
may15.2008,US Natural Gas Storage,93B,88B,65B
may21.2008,US Crude Oil Inventories,-5.4M,0.5M,0.2M
may21.2008,US Distillate Inventories,0.7M,1.4M,1.3M
may21.2008,US Gasoline Inventories,-0.8M,0.3M,-1.7M
may22.2008,US Natural Gas Storage,85B,85B,93B
may29.2008,EZ Consumer Confidence,-15,-12,-12
may29.2008,US Crude Oil Inventories,-8.8M,-0.3M,-5.4M
may29.2008,US Distillate Inventories,1.6M,1.0M,0.7M
may29.2008,US Gasoline Inventories,-3.3M,0.0M,-0.8M
may29.2008,US Natural Gas Storage,87B,84B,85B
jun02.2008,US ISM Manufacturing PMI,49.6,48.6,48.6
jun03.2008,US Factory Orders m/m,1.1%,0.0%,1.5%
jun04.2008,US ISM Services PMI,51.7,51.0,52.0
jun04.2008,US Crude Oil Inventories,-4.8M,1.1M,-8.8M
jun04.2008,US Distillate Inventories,2.3M,1.7M,1.6M
jun04.2008,US Gasoline Inventories,2.9M,1.5M,-3.3M
jun05.2008,US Natural Gas Storage,105B,103B,87B
jun06.2008,CA Employment Change,8.4K,10.0K,19.2K
jun06.2008,CA Unemployment Rate,6.1%,6.1%,6.1%
jun06.2008,US Average Hourly Earnings m/m,0.3%,0.2%,0.1%
jun06.2008,US Non-Farm Employment Change,-49K,-57K,-28K
jun06.2008,US Unemployment Rate,5.5%,5.1%,5.0%
jun10.2008,US Trade Balance,-60.9B,-59.5B,-56.5B
jun11.2008,US Crude Oil Inventories,-4.6M,-0.9M,-4.8M
jun11.2008,US Distillate Inventories,2.3M,2.0M,2.3M
jun11.2008,US Gasoline Inventories,1.0M,0.9M,2.9M
jun12.2008,US Retail Sales m/m,1.0%,0.5%,0.4%
jun12.2008,US Natural Gas Storage,80B,94B,105B
jun13.2008,US Core CPI m/m,0.2%,0.2%,0.1%
jun13.2008,US CPI m/m,0.6%,0.5%,0.2%
jun17.2008,US Capacity Utilization Rate,79.4%,79.7%,79.6%
jun17.2008,US Industrial Production m/m,-0.2%,0.1%,-0.7%
jun18.2008,US Crude Oil Inventories,-1.2M,-1.5M,-4.6M
jun18.2008,US Distillate Inventories,2.6M,1.8M,2.3M
jun18.2008,US Gasoline Inventories,-1.2M,0.9M,1.0M
jun19.2008,US Natural Gas Storage,57B,61B,80B
jun25.2008,US Crude Oil Inventories,0.8M,-0.1M,-1.2M
jun25.2008,US Distillate Inventories,2.8M,2.0M,2.6M
jun25.2008,US Gasoline Inventories,-0.2M,0.0M,-1.2M
jun26.2008,US Natural Gas Storage,90B,90B,57B
jun27.2008,EZ Consumer Confidence,-17,-16,-15
jul01.2008,US ISM Manufacturing PMI,50.2,48.6,49.6
jul02.2008,US Factory Orders m/m,0.6%,0.4%,1.3%
jul02.2008,US Crude Oil Inventories,-2.0M,-0.1M,0.8M
jul02.2008,US Distillate Inventories,1.3M,1.5M,2.8M
jul02.2008,US Gasoline Inventories,2.1M,0.5M,-0.2M
jul03.2008,US Average Hourly Earnings m/m,0.3%,0.3%,0.3%
jul03.2008,US Non-Farm Employment Change,-62K,-60K,-62K
jul03.2008,US Unemployment Rate,5.5%,5.4%,5.5%
jul03.2008,US ISM Services PMI,48.2,51.1,51.7
jul03.2008,US Natural Gas Storage,85B,89B,90B
jul09.2008,US Crude Oil Inventories,-5.9M,-1.5M,-2.0M
jul09.2008,US Distillate Inventories,1.8M,2.1M,1.3M
jul09.2008,US Gasoline Inventories,0.9M,0.1M,2.1M
jul10.2008,US Natural Gas Storage,90B,95B,85B
jul11.2008,CA Employment Change,-5.0K,10.0K,8.4K
jul11.2008,CA Unemployment Rate,6.2%,6.1%,6.1%
jul11.2008,US Trade Balance,-59.8B,-62.5B,-60.5B
jul15.2008,US Retail Sales m/m,0.1%,0.4%,0.8%
jul16.2008,US Core CPI m/m,0.3%,0.2%,0.2%
jul16.2008,US CPI m/m,1.1%,0.7%,0.6%
jul16.2008,US Capacity Utilization Rate,79.9%,79.3%,79.6%
jul16.2008,US Industrial Production m/m,0.5%,0.0%,-0.2%
jul16.2008,US Crude Oil Inventories,3.0M,-1.2M,-5.9M
jul16.2008,US Distillate Inventories,3.2M,2.1M,1.8M
jul16.2008,US Gasoline Inventories,2.5M,-0.8M,0.9M
jul17.2008,US Natural Gas Storage,104B,88B,90B
jul23.2008,US Crude Oil Inventories,-1.6M,-0.7M,3.0M
jul23.2008,US Distillate Inventories,2.4M,2.5M,3.2M
jul23.2008,US Gasoline Inventories,2.8M,0.2M,2.5M
jul24.2008,US Natural Gas Storage,84B,83B,104B
jul30.2008,EZ Consumer Confidence,-20,-19,-17
jul30.2008,US Crude Oil Inventories,-0.1M,-1.4M,-1.6M
jul30.2008,US Distillate Inventories,2.4M,2.1M,2.4M
jul30.2008,US Gasoline Inventories,-3.5M,0.3M,2.8M
jul31.2008,US Advance GDP q/q,1.9%,2.2%,1.0%
jul31.2008,US Natural Gas Storage,65B,69B,84B
aug01.2008,US Average Hourly Earnings m/m,0.3%,0.3%,0.3%
aug01.2008,US Non-Farm Employment Change,-51K,-75K,-51K
aug01.2008,US Unemployment Rate,5.7%,5.6%,5.5%
aug01.2008,US ISM Manufacturing PMI,50.0,49.4,50.2
aug04.2008,US Factory Orders m/m,1.7%,0.7%,0.9%
aug05.2008,US ISM Services PMI,49.5,48.6,48.2
aug06.2008,US Crude Oil Inventories,1.7M,0.1M,-0.1M
aug06.2008,US Distillate Inventories,2.8M,2.0M,2.4M
aug06.2008,US Gasoline Inventories,-4.3M,-1.5M,-3.5M
aug07.2008,US Natural Gas Storage,56B,60B,65B
aug08.2008,CA Employment Change,-55.2K,5.0K,-5.0K
aug08.2008,CA Unemployment Rate,6.1%,6.2%,6.2%
aug12.2008,US Trade Balance,-56.8B,-61.8B,-59.2B
aug13.2008,US Retail Sales m/m,-0.1%,0.0%,0.3%
aug13.2008,US Crude Oil Inventories,-0.4M,-0.1M,1.7M
aug13.2008,US Distillate Inventories,-1.8M,2.0M,2.8M
aug13.2008,US Gasoline Inventories,-6.4M,-1.5M,-4.3M
aug14.2008,US Core CPI m/m,0.3%,0.2%,0.3%
aug14.2008,US CPI m/m,0.8%,0.4%,1.1%
aug14.2008,US Natural Gas Storage,50B,53B,56B
aug15.2008,US Capacity Utilization Rate,79.9%,79.8%,79.8%
aug15.2008,US Industrial Production m/m,0.2%,0.0%,0.4%
aug20.2008,US Crude Oil Inventories,9.4M,0.7M,-0.4M
aug20.2008,US Distillate Inventories,0.5M,1.0M,-1.8M
aug20.2008,US Gasoline Inventories,-6.2M,-2.9M,-6.4M
aug21.2008,US Natural Gas Storage,88B,82B,50B
aug27.2008,US Crude Oil Inventories,-0.1M,0.9M,9.4M
aug27.2008,US Distillate Inventories,0.1M,0.6M,0.5M
aug27.2008,US Gasoline Inventories,-1.2M,-2.4M,-6.2M
aug28.2008,US Natural Gas Storage,102B,84B,88B
aug29.2008,EZ Consumer Confidence,-19,-20,-20
sep02.2008,US ISM Manufacturing PMI,49.9,49.9,50.0
sep03.2008,US Factory Orders m/m,1.3%,1.0%,2.1%
sep04.2008,US ISM Services PMI,50.6,49.4,49.5
sep04.2008,US Distillate Inventories,-0.4M,1.0M,0.1M
sep04.2008,US Gasoline Inventories,-1.0M,-1.3M,-1.2M
sep04.2008,US Natural Gas Storage,90B,88B,102B
sep04.2008,US Crude Oil Inventories,-1.9M,0.0M,-0.1M
sep05.2008,CA Employment Change,15.2K,9.0K,-55.2K
sep05.2008,CA Unemployment Rate,6.1%,6.2%,6.1%
sep05.2008,US Average Hourly Earnings m/m,0.4%,0.3%,0.4%
sep05.2008,US Non-Farm Employment Change,-84K,-73K,-60K
sep05.2008,US Unemployment Rate,6.1%,5.7%,5.7%
sep10.2008,US Crude Oil Inventories,-5.9M,-4.6M,-1.9M
sep10.2008,US Distillate Inventories,-1.3M,-2.1M,-0.4M
sep10.2008,US Gasoline Inventories,-6.5M,-4.5M,-1.0M
sep11.2008,US Trade Balance,-62.2B,-58.0B,-58.8B
sep11.2008,US Natural Gas Storage,58B,56B,90B
sep12.2008,US Retail Sales m/m,-0.3%,0.2%,-0.5%
sep15.2008,US Capacity Utilization Rate,78.7%,79.6%,79.7%
sep15.2008,US Industrial Production m/m,-1.1%,-0.3%,0.1%
sep16.2008,US Core CPI m/m,0.2%,0.2%,0.3%
sep16.2008,US CPI m/m,-0.1%,0.0%,0.8%
sep17.2008,US Crude Oil Inventories,-6.3M,-4.3M,-5.9M
sep17.2008,US Distillate Inventories,-0.8M,-1.9M,-1.3M
sep17.2008,US Gasoline Inventories,-3.3M,-3.5M,-6.5M
sep18.2008,US Natural Gas Storage,67B,61B,58B
sep24.2008,US Crude Oil Inventories,-1.5M,-2.0M,-6.3M
sep24.2008,US Distillate Inventories,-4.2M,-1.5M,-0.8M
sep24.2008,US Gasoline Inventories,-5.9M,-3.6M,-3.3M
sep25.2008,US Natural Gas Storage,51B,62B,67B
sep29.2008,EZ Consumer Confidence,-19,-19,-19
oct01.2008,US ISM Manufacturing PMI,43.5,49.5,49.9
oct01.2008,US Crude Oil Inventories,4.3M,1.8M,-1.5M
oct01.2008,US Distillate Inventories,-2.4M,-1.6M,-4.2M
oct01.2008,US Gasoline Inventories,0.9M,-2.1M,-5.9M
oct02.2008,US Factory Orders m/m,-4.0%,-2.6%,0.7%
oct02.2008,US Natural Gas Storage,87B,75B,51B
oct03.2008,US Average Hourly Earnings m/m,0.2%,0.3%,0.4%
oct03.2008,US Non-Farm Employment Change,-159K,-100K,-73K
oct03.2008,US Unemployment Rate,6.1%,6.1%,6.1%
oct03.2008,US ISM Services PMI,50.2,50.0,50.6
oct08.2008,US Crude Oil Inventories,8.1M,2.0M,4.3M
oct08.2008,US Distillate Inventories,-0.5M,-0.9M,-2.4M
oct08.2008,US Gasoline Inventories,7.2M,1.5M,0.9M
oct09.2008,US Natural Gas Storage,88B,86B,87B
oct10.2008,CA Employment Change,106.9K,11.0K,15.2K
oct10.2008,CA Unemployment Rate,6.1%,6.2%,6.1%
oct10.2008,US Trade Balance,-59.1B,-59.5B,-61.3B
oct15.2008,US Retail Sales m/m,-1.2%,-0.6%,-0.4%
oct16.2008,US Core CPI m/m,0.1%,0.2%,0.2%
oct16.2008,US CPI m/m,0.0%,0.1%,-0.1%
oct16.2008,US Capacity Utilization Rate,76.4%,78.0%,78.7%
oct16.2008,US Industrial Production m/m,-2.8%,-0.7%,-1.0%
oct16.2008,US Distillate Inventories,-0.5M,0.5M,-0.5M
oct16.2008,US Gasoline Inventories,7.0M,1.5M,7.2M
oct16.2008,US Natural Gas Storage,79B,82B,88B
oct16.2008,US Crude Oil Inventories,5.6M,2.0M,8.1M
oct22.2008,US Crude Oil Inventories,3.2M,2.3M,5.6M
oct22.2008,US Distillate Inventories,2.2M,0.3M,-0.5M
oct22.2008,US Gasoline Inventories,2.7M,2.6M,7.0M
oct23.2008,US Natural Gas Storage,70B,76B,79B
oct29.2008,US Crude Oil Inventories,0.5M,1.4M,3.2M
oct29.2008,US Distillate Inventories,2.3M,1.1M,2.2M
oct29.2008,US Gasoline Inventories,-1.5M,1.5M,2.7M
oct30.2008,EZ Consumer Confidence,-24,-21,-19
oct30.2008,US Advance GDP q/q,-0.3%,-0.5%,2.8%
oct30.2008,US Natural Gas Storage,46B,41B,70B
nov03.2008,US ISM Manufacturing PMI,38.9,41.6,43.5
nov04.2008,US Factory Orders m/m,-2.5%,-1.0%,-4.3%
nov05.2008,US ISM Services PMI,44.4,47.3,50.2
nov05.2008,US Crude Oil Inventories,0.0M,1.1M,0.5M
nov05.2008,US Distillate Inventories,1.2M,1.6M,2.3M
nov05.2008,US Gasoline Inventories,1.1M,-0.7M,-1.5M
nov06.2008,US Natural Gas Storage,12B,25B,46B
nov07.2008,CA Employment Change,9.5K,-10.0K,106.9K
nov07.2008,CA Unemployment Rate,6.2%,6.2%,6.1%
nov07.2008,US Average Hourly Earnings m/m,0.2%,0.2%,0.2%
nov07.2008,US Non-Farm Employment Change,-240K,-200K,-284K
nov07.2008,US Unemployment Rate,6.5%,6.3%,6.1%
nov13.2008,US Trade Balance,-56.5B,-56.5B,-59.1B
nov13.2008,US Crude Oil Inventories,0.0M,1.0M,0.0M
nov13.2008,US Distillate Inventories,0.5M,0.9M,1.2M
nov13.2008,US Gasoline Inventories,2.0M,0.1M,1.1M
nov14.2008,US Retail Sales m/m,-2.8%,-2.0%,-1.3%
nov14.2008,US Natural Gas Storage,62B,45B,12B
nov17.2008,US Capacity Utilization Rate,76.4%,76.4%,75.5%
nov17.2008,US Industrial Production m/m,1.3%,0.1%,-3.7%
nov19.2008,US Core CPI m/m,-0.1%,0.1%,0.1%
nov19.2008,US CPI m/m,-1.0%,-0.8%,0.0%
nov19.2008,US Crude Oil Inventories,1.6M,0.9M,0.0M
nov19.2008,US Distillate Inventories,-1.5M,0.7M,0.5M
nov19.2008,US Gasoline Inventories,0.5M,0.0M,2.0M
nov20.2008,US Natural Gas Storage,16B,-1B,62B
nov26.2008,US Crude Oil Inventories,7.3M,0.7M,1.6M
nov26.2008,US Distillate Inventories,-0.2M,0.0M,-1.5M
nov26.2008,US Gasoline Inventories,1.8M,0.5M,0.5M
nov26.2008,US Natural Gas Storage,-66B,-44B,16B
nov27.2008,EZ Consumer Confidence,-25,-25,-24
dec01.2008,US ISM Manufacturing PMI,36.2,37.2,38.9
dec03.2008,US ISM Services PMI,37.3,42.5,44.4
dec03.2008,US Crude Oil Inventories,-0.4M,1.8M,7.3M
dec03.2008,US Distillate Inventories,-1.7M,0.7M,-0.2M
dec03.2008,US Gasoline Inventories,-1.5M,1.0M,1.8M
dec04.2008,US Factory Orders m/m,-5.1%,-4.0%,-3.1%
dec04.2008,US Natural Gas Storage,-64B,-69B,-66B
dec05.2008,CA Employment Change,-70.6K,-21.0K,9.5K
dec05.2008,CA Unemployment Rate,6.3%,6.4%,6.2%
dec05.2008,US Average Hourly Earnings m/m,0.4%,0.2%,0.3%
dec05.2008,US Non-Farm Employment Change,-533K,-320K,-320K
dec05.2008,US Unemployment Rate,6.7%,6.8%,6.5%
dec10.2008,US Crude Oil Inventories,0.4M,1.0M,-0.4M
dec10.2008,US Distillate Inventories,5.6M,-1.4M,-1.7M
dec10.2008,US Gasoline Inventories,3.7M,-0.4M,-1.5M
dec11.2008,US Trade Balance,-57.2B,-53.5B,-56.6B
dec11.2008,US Natural Gas Storage,-67B,-83B,-64B
dec12.2008,US Retail Sales m/m,-1.8%,-1.9%,-2.9%
dec15.2008,US Capacity Utilization Rate,75.4%,75.5%,76.0%
dec15.2008,US Industrial Production m/m,-0.6%,-0.7%,1.5%
dec16.2008,US Core CPI m/m,0.0%,0.1%,-0.1%
dec16.2008,US CPI m/m,-1.7%,-1.2%,-1.0%
dec17.2008,US Crude Oil Inventories,0.5M,0.3M,0.4M
dec17.2008,US Distillate Inventories,2.9M,1.5M,5.6M
dec17.2008,US Gasoline Inventories,1.3M,1.3M,3.7M
dec18.2008,US Natural Gas Storage,-124B,-112B,-67B
dec24.2008,US Crude Oil Inventories,-3.1M,0.4M,0.5M
dec24.2008,US Distillate Inventories,1.8M,0.7M,2.9M
dec24.2008,US Gasoline Inventories,3.3M,0.8M,1.3M
dec24.2008,US Natural Gas Storage,-147B,-139B,-124B
dec31.2008,US Crude Oil Inventories,0.5M,-1.4M,-3.1M
dec31.2008,US Distillate Inventories,0.7M,1.5M,1.8M
dec31.2008,US Gasoline Inventories,0.8M,1.7M,3.3M
dec31.2008,US Natural Gas Storage,-143B,-151B,-147B
jan02.2009,US ISM Manufacturing PMI,32.4,35.5,36.2
jan06.2009,US Factory Orders m/m,-4.6%,-2.5%,-6.0%
jan06.2009,US ISM Services PMI,40.6,36.9,37.3
jan07.2009,US Crude Oil Inventories,6.7M,0.7M,0.5M
jan07.2009,US Distillate Inventories,1.8M,1.1M,0.7M
jan07.2009,US Gasoline Inventories,3.3M,1.0M,0.8M
jan08.2009,EZ Consumer Confidence,-30,-26,-25
jan08.2009,US Natural Gas Storage,-47B,-78B,-143B
jan09.2009,CA Employment Change,-34.4K,-21.0K,-70.6K
jan09.2009,CA Unemployment Rate,6.6%,6.5%,6.3%
jan09.2009,US Average Hourly Earnings m/m,0.3%,0.2%,0.4%
jan09.2009,US Non-Farm Employment Change,-524K,-520K,-584K
jan09.2009,US Unemployment Rate,7.2%,7.0%,6.7%
jan13.2009,US Trade Balance,-40.4B,-51.4B,-56.7B
jan14.2009,US Retail Sales m/m,-2.7%,-1.2%,-2.1%
jan14.2009,US Crude Oil Inventories,1.2M,2.1M,6.7M
jan14.2009,US Distillate Inventories,6.3M,1.1M,1.8M
jan14.2009,US Gasoline Inventories,2.1M,1.9M,3.3M
jan15.2009,US Natural Gas Storage,-94B,-105B,-47B
jan16.2009,US Core CPI m/m,0.0%,0.1%,0.0%
jan16.2009,US CPI m/m,-0.7%,-0.8%,-1.7%
jan16.2009,US Capacity Utilization Rate,73.6%,74.6%,75.2%
jan16.2009,US Industrial Production m/m,-2.0%,-0.9%,-1.3%
jan22.2009,US Distillate Inventories,0.8M,0.5M,6.3M
jan22.2009,US Gasoline Inventories,6.5M,1.8M,2.1M
jan22.2009,US Crude Oil Inventories,6.1M,1.1M,1.2M
jan23.2009,US Natural Gas Storage,-176B,-174B,-94B
jan28.2009,US Crude Oil Inventories,6.2M,2.8M,6.1M
jan28.2009,US Distillate Inventories,-1.0M,-1.0M,0.8M
jan28.2009,US Gasoline Inventories,-0.1M,2.0M,6.5M
jan29.2009,EZ Consumer Confidence,-31,-31,-30
jan29.2009,US Natural Gas Storage,-186B,-180B,-176B
jan30.2009,US Advance GDP q/q,-3.8%,-5.4%,-0.5%
feb02.2009,US ISM Manufacturing PMI,35.6,32.4,32.4
feb04.2009,US ISM Services PMI,42.9,39.1,40.6
feb04.2009,US Crude Oil Inventories,7.2M,2.8M,6.2M
feb04.2009,US Distillate Inventories,-1.4M,-1.4M,-1.0M
feb04.2009,US Gasoline Inventories,0.4M,0.8M,-0.1M
feb05.2009,US Factory Orders m/m,-3.9%,-3.1%,-6.5%
feb05.2009,US Natural Gas Storage,-195B,-190B,-186B
feb06.2009,CA Employment Change,-129.0K,-40.0K,-34.4K
feb06.2009,CA Unemployment Rate,7.2%,6.8%,6.6%
feb06.2009,US Average Hourly Earnings m/m,0.3%,0.2%,0.4%
feb06.2009,US Non-Farm Employment Change,-598K,-530K,-577K
feb06.2009,US Unemployment Rate,7.6%,7.5%,7.2%
feb11.2009,US Trade Balance,-39.9B,-37.0B,-41.6B
feb11.2009,US Crude Oil Inventories,4.7M,3.1M,7.2M
feb11.2009,US Distillate Inventories,-1.0M,-1.5M,-1.4M
feb11.2009,US Gasoline Inventories,-2.7M,0.5M,0.4M
feb12.2009,US Retail Sales m/m,1.0%,-0.8%,-3.0%
feb12.2009,US Natural Gas Storage,-159B,-166B,-195B
feb18.2009,US Capacity Utilization Rate,72.0%,72.5%,73.3%
feb18.2009,US Industrial Production m/m,-1.8%,-1.4%,-2.4%
feb19.2009,US Natural Gas Storage,-24B,-49B,-159B
feb19.2009,US Crude Oil Inventories,-0.2M,2.9M,4.7M
feb19.2009,US Distillate Inventories,-0.8M,-1.5M,-1.0M
feb19.2009,US Gasoline Inventories,1.1M,-0.5M,-2.7M
feb20.2009,US Core CPI m/m,0.2%,0.1%,0.0%
feb20.2009,US CPI m/m,0.3%,0.2%,-0.7%
feb25.2009,US Crude Oil Inventories,0.7M,0.9M,-0.2M
feb25.2009,US Distillate Inventories,0.9M,-1.2M,-0.8M
feb25.2009,US Gasoline Inventories,-3.3M,0.0M,1.1M
feb26.2009,EZ Consumer Confidence,-33,-31,-31
feb26.2009,US Natural Gas Storage,-101B,-98B,-24B
mar02.2009,US ISM Manufacturing PMI,35.8,34.0,35.6
mar04.2009,US ISM Services PMI,41.6,41.2,42.9
mar04.2009,US Crude Oil Inventories,-0.7M,1.0M,0.7M
mar04.2009,US Distillate Inventories,1.7M,-1.0M,0.9M
mar04.2009,US Gasoline Inventories,0.2M,-0.8M,-3.3M
mar05.2009,US Factory Orders m/m,-1.9%,-3.5%,-4.9%
